VALUE_TYPE,VALUE_CODE,VALUE_DESCRIPTION
CONTAMINANT_CODE,4000,"Gross Alpha, Excl. Radon and U"
CONTAMINANT_CODE,4002,"Gross Alpha, Incl. Radon and U"
CONTAMINANT_CODE,4004,Radon
CONTAMINANT_CODE,4006,Combined Uranium
CONTAMINANT_CODE,4007,Uranium-234
CONTAMINANT_CODE,4008,Uranium-235
CONTAMINANT_CODE,4009,Uranium-238
CONTAMINANT_CODE,4010,Combined Radium (-226 and -228)
CONTAMINANT_CODE,4012,Photon Emitters
CONTAMINANT_CODE,4020,Radium-226
CONTAMINANT_CODE,4030,Radium-228
CONTAMINANT_CODE,4040,"Alpha, Dissolved"
CONTAMINANT_CODE,4041,"Alpha, Suspended"
CONTAMINANT_CODE,4042,"Beta, Dissolved"
CONTAMINANT_CODE,4043,"Beta, Suspended"
CONTAMINANT_CODE,4044,"Potassium-40, Total"
CONTAMINANT_CODE,4100,Gross Beta Particle Activity
CONTAMINANT_CODE,4101,ManMade Beta Particle and Photon Emitter
CONTAMINANT_CODE,4102,Tritium
CONTAMINANT_CODE,4104,4-BERYLLIUM-7
CONTAMINANT_CODE,4106,4-BERYLLIUM-10
CONTAMINANT_CODE,4108,6-CARBON-14
CONTAMINANT_CODE,4109,Gross Alpha Particle Activity
CONTAMINANT_CODE,4110,11-SODIUM-22
CONTAMINANT_CODE,4112,15-PHOSPHORUS-32
CONTAMINANT_CODE,4114,16-SULFUR-35
CONTAMINANT_CODE,4116,17-CHLORINE-36
CONTAMINANT_CODE,4118,20-CALCIUM-45
CONTAMINANT_CODE,4120,20-CALCIUM-47
CONTAMINANT_CODE,4122,21-SCANDIUM-46
CONTAMINANT_CODE,4124,21-SCANDIUM-47
CONTAMINANT_CODE,4126,21-SCANDIUM-48
CONTAMINANT_CODE,4128,23-VANADIUM-48
CONTAMINANT_CODE,4130,24-CHROMIUM-51
CONTAMINANT_CODE,4132,25-MANGANESE-54
CONTAMINANT_CODE,4134,26-IRON-55
CONTAMINANT_CODE,4136,26-IRON-59
CONTAMINANT_CODE,4138,27-COBALT-57
CONTAMINANT_CODE,4140,27-COBALT-58
CONTAMINANT_CODE,4142,27-COBALT-60
CONTAMINANT_CODE,4144,28-NICKEL-59
CONTAMINANT_CODE,4146,28-NICKEL-63
CONTAMINANT_CODE,4148,30-ZINC-65
CONTAMINANT_CODE,4150,32-GERANIUM-71
CONTAMINANT_CODE,4152,33-ARSENIC-73
CONTAMINANT_CODE,4154,33-ARSENIC-74
CONTAMINANT_CODE,4156,33-ARSENIC-76
CONTAMINANT_CODE,4158,33-ARSENIC-77
CONTAMINANT_CODE,4160,34-SELENIUM-75
CONTAMINANT_CODE,4162,34-SELENIUM-79
CONTAMINANT_CODE,4164,35-BROMIDE-82
CONTAMINANT_CODE,4166,37-RUBIDIUM-86
CONTAMINANT_CODE,4168,37-RUBIDIUM-87
CONTAMINANT_CODE,4170,38-STRONTIUM-85
CONTAMINANT_CODE,4172,38-STRONTIUM-89
CONTAMINANT_CODE,4174,38-STRONTIUM-90
CONTAMINANT_CODE,4176,39-YTTRIUM-90
CONTAMINANT_CODE,4178,39-YTTRIUM-91
CONTAMINANT_CODE,4180,39-YTTRIUM-91M
CONTAMINANT_CODE,4182,40-ZIRCONIUM-93
CONTAMINANT_CODE,4184,40-ZIRCONIUM-95
CONTAMINANT_CODE,4186,41-NIOBIUM-93
CONTAMINANT_CODE,4188,41-NIOBIUM-95
CONTAMINANT_CODE,4190,42-MOLYBDENUM-93
CONTAMINANT_CODE,4192,42-MOLYBDENUM-99
CONTAMINANT_CODE,4194,43-TECHNETIUM-96
CONTAMINANT_CODE,2414,"1,2,3-Trichloropropane"
CONTAMINANT_CODE,4196,43-TECHNETIUM-97M
CONTAMINANT_CODE,4198,43-TECHNETIUM-97
CONTAMINANT_CODE,4200,43-TECHNETIUM-99
CONTAMINANT_CODE,4202,43-TECHNETIUM-99M
CONTAMINANT_CODE,4204,44-RUTHENIUM-97
CONTAMINANT_CODE,4206,44-RUTHENIUM-103
CONTAMINANT_CODE,4208,44-RUTHENIUM-106
CONTAMINANT_CODE,4210,45-RHODIUM-105
CONTAMINANT_CODE,4212,46-PALLADIUM-103
CONTAMINANT_CODE,4214,46-PALLADIUM-107
CONTAMINANT_CODE,4216,47-SILVER-105M
CONTAMINANT_CODE,4218,47-SILVER-110M
CONTAMINANT_CODE,4220,47-SILVER-110
CONTAMINANT_CODE,4222,47-SILVER-111
CONTAMINANT_CODE,4224,48-CADMIUM-109
CONTAMINANT_CODE,4226,48-CADMIUM-113M
CONTAMINANT_CODE,4228,48-Cadmium-115M
CONTAMINANT_CODE,4230,48-CADMIUM-115
CONTAMINANT_CODE,4232,49-INDIUM-115
CONTAMINANT_CODE,4234,50-TIN-113
CONTAMINANT_CODE,4236,50-TIN-123
CONTAMINANT_CODE,4238,50-TIN-125
CONTAMINANT_CODE,4240,51-ANTIMONY-122
CONTAMINANT_CODE,4242,51-ANTIMONY-124
